iter	Passed	Remaining
0	3	299
1	5	261
2	7	248
3	9	229
4	12	234
5	15	238
6	18	242
7	21	245
8	23	237
9	25	229
10	27	225
11	29	217
12	33	226
13	36	223
14	38	219
15	40	215
16	43	210
17	45	205
18	47	204
19	49	199
20	52	195
21	54	193
22	56	189
23	58	186
24	62	188
25	64	183
26	66	179
27	68	176
28	71	173
29	72	169
30	74	165
31	77	164
32	79	161
33	81	157
34	83	154
35	85	151
36	87	149
37	90	147
38	93	146
39	96	144
40	98	142
41	100	138
42	102	136
43	106	135
44	111	136
45	114	134
46	116	131
47	118	128
48	122	126
49	123	123
50	125	120
51	127	117
52	129	114
53	131	111
54	132	108
55	134	105
56	136	103
57	138	100
58	140	97
59	142	95
60	144	92
61	146	89
62	148	87
63	151	85
64	153	82
65	154	79
66	156	77
67	157	74
68	159	71
69	161	69
70	163	66
71	165	64
72	167	62
73	169	59
74	171	57
75	173	54
76	174	52
77	176	49
78	178	47
79	183	45
80	185	43
81	187	41
82	189	38
83	191	36
84	193	34
85	196	31
86	198	29
87	199	27
88	201	24
89	203	22
90	205	20
91	206	17
92	208	15
93	211	13
94	213	11
95	214	8
96	216	6
97	217	4
98	219	2
99	221	0
